date,inflation_rate,annual_change
1999-12-31,2.188,0.64
2000-12-31,3.3769,1.19
2001-12-31,2.8262,-0.55
2002-12-31,1.586,-1.24
2003-12-31,2.2701,0.68
2004-12-31,2.6772,0.41
2005-12-31,3.3927,0.72
2006-12-31,3.2259,-0.17
2007-12-31,2.8527,-0.37
2008-12-31,3.8391,0.99
2009-12-31,-0.3555,-4.19
2010-12-31,1.64,2
2011-12-31,3.1568,1.52
2012-12-31,2.0693,-1.09
2013-12-31,1.4648,-0.6
2014-12-31,1.6222,0.16
2015-12-31,0.1186,-1.5
2016-12-31,1.2616,1.14
2017-12-31,2.1301,0.87
2018-12-31,2.4426,0.31
2019-12-31,1.8122,-0.63
2020-12-31,1.2336,-0.58
2021-12-31,4.6979,3.46
